"OBJECTIDC","OBJECTVERSIONC","LASTUSERC","UPDATETIMEC","NUM_DECIMAL_DIGITS","TEXT_DE","TEXT_EN","TEXT_ES","START_DATE","END_DATE","FXTYPE"
"MNT",0,"sysadmin",01.01.70 00:00:00,2,"Tugrik","Tugrik","Tughrik mongol",01.01.70 00:00:00,,"M"
"TTD",0,"sysadmin",01.01.70 00:00:00,2,"Trinidad-und-Tobago-Dollar","Trinidad and Tobago Dollar","Dólar de Trinidad y Tobago",01.01.70 00:00:00,,"M"
"SVC",0,"sysadmin",01.01.70 00:00:00,2,"El-Salvador-Colón","El Salvador Colon","Colón salvadoreño",01.01.70 00:00:00,,"D"
"SLL",0,"sysadmin",01.01.70 00:00:00,2,"Leone","Leone","Leone de Sierra Leona",01.01.70 00:00:00,,"M"
"CNY",0,"sysadmin",01.01.70 00:00:00,2,"Renminbi Yuan","Yuan Renminbi","Yuan Renminbi",01.01.70 00:00:00,,"D"
"PHP",0,"sysadmin",01.01.70 00:00:00,2,"Philippinischer Peso","Philippine Peso","Peso filipino",01.01.70 00:00:00,,"D"
"ILS",0,"sysadmin",01.01.70 00:00:00,2,"Israelischer Schekel","New Israeli Sheqel","Nuevo shequel israelí",01.01.70 00:00:00,,"D"
"ARS",0,"sysadmin",01.01.70 00:00:00,2,"Argentinischer Peso","Argentine Peso","Peso argentino",01.01.70 00:00:00,,"D"
"KHR",0,"sysadmin",01.01.70 00:00:00,2,"Riel","Riel","Riel camboyano",01.01.70 00:00:00,,"M"
"HNL",0,"sysadmin",01.01.70 00:00:00,2,"Lempira","Lempira","Lempira hondureña",01.01.70 00:00:00,,"D"
"AOA",1,"0;BaL8qjtI",23.09.13 11:38:30,2,"Readjusted Kwanza","Kwanza","Kwanza angoleño",01.01.70 00:00:00,,"D"
"BZD",0,"sysadmin",01.01.70 00:00:00,2,"Belize-Dollar","Belize Dollar","Dólar de Belice",01.01.70 00:00:00,,"M"
"MDL",0,"sysadmin",01.01.70 00:00:00,2,"Moldau-Leu","Moldovan Leu","Leu moldavo",01.01.70 00:00:00,,"M"
"ETB",0,"sysadmin",01.01.70 00:00:00,2,"Birr","Ethiopian Birr","Birr etíope",01.01.70 00:00:00,,"D"
"SBD",0,"sysadmin",01.01.70 00:00:00,2,"Salomonen-Dollar","Salomon Islands Dollar","Dólar de las Islas Salomón",01.01.70 00:00:00,,"M"
"UGX",0,"sysadmin",01.01.70 00:00:00,2,"Uganda-Schilling","Uganda Shilling","Chelín ugandés",01.01.70 00:00:00,,"M"
"RWF",0,"sysadmin",01.01.70 00:00:00,0,"Ruanda-Franc","Rwanda Franc","Franco ruandés",01.01.70 00:00:00,,"M"
